b'Herm\xc3\xa8s Tie',"b""Men's red, mustard and multicolor Herm\xc3\xa8s silk necktie with watermelon and orange motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, red and multicolor Herm\xc3\xa8s silk necktie with hat motif."""
b'Herm\xc3\xa8s Tie',"b""Men's pink, grey and multicolor Herm\xc3\xa8s silk necktie with belt motif."""
b'Herm\xc3\xa8s Tie',"b""Men's green, red and tan Herm\xc3\xa8s silk necktie with pinwheel motif."""
b'Herm\xc3\xa8s Tie',"b""Men's cream Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's light green and blue Herm\xc3\xa8s silk dolphin print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's blue, green, red and yellow Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's burgundy, sand and multicolor Herm\xc3\xa8s silk necktie with geometric design."""
b'Herm\xc3\xa8s Tie',"b""Men's blue, brown and multicolor Herm\xc3\xa8s silk necktie with leaf motif."""
b'Herm\xc3\xa8s Tie',"b""Men's brown, blue and multicolor Herm\xc3\xa8s silk necktie with geometric design throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's red, saffron and multicolor Herm\xc3\xa8s silk necktie with butterfly motif."""
b'Herm\xc3\xa8s Tie',"b""Men's steel blue, tan and multicolor Herm\xc3\xa8s silk necktie with floral motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red, sand and multicolor Herm\xc3\xa8s silk necktie with tomato motif."""
b'Herm\xc3\xa8s Tie',"b""Men's steel blue, tan and multicolor Herm\xc3\xa8s silk necktie with magical story and fox motif."""
b'Herm\xc3\xa8s Tie',"b""Men's tan, bone and multicolor Herm\xc3\xa8s silk necktie with flowerpot motif."""
b'Herm\xc3\xa8s Tie',"b""Men's light yellow, ice blue and multicolor Herm\xc3\xa8s silk necktie with chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s silk kangaroo print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's black, burgundy and multicolor Herm\xc3\xa8s silk necktie with striped chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's red, brown and black Herm\xc3\xa8s silk necktie with rope chain motif."""
b'Herm\xc3\xa8s Tie',"b""Men's blue and ivory Herm\xc3\xa8s silk necktie with ornate rope motif throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's pink and navy Herm\xc3\xa8s silk necktie with ornate dtripe and deconstructed polka dot design."""
b'Herm\xc3\xa8s Tie',"b""Men's green, navy and multicolor Herm\xc3\xa8s silk necktie with lily pad and lotus design throughout."""
b'Herm\xc3\xa8s Tie',"b""Men's olive green Herm\xc3\xa8s silk horse print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's olive grey Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's purple Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's orchid Herm\xc3\xa8s silk printed necktie."""
b'Herm\xc3\xa8s Tie',"b""Men's yellow Herm\xc3\xa8s silk umbrella print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's grass Herm\xc3\xa8s silk H print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's pink Herm\xc3\xa8s silk iridescent embroidered tie."""
b'Herm\xc3\xa8s Tie',"b""Men's pink Herm\xc3\xa8s silk striped tie."""
b'Herm\xc3\xa8s Tie',"b""Men's mango Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's light green Herm\xc3\xa8s silk ice fishing print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s silk iconic figure print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s silk embroidered tie. Includes original box."""
b'Herm\xc3\xa8s Tie',"b""Men's red Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's green Herm\xc3\xa8s silk bird and plane print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's blue Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, green and yellow Herm\xc3\xa8s silk necktie with geometric motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, yellow and steel blue Herm\xc3\xa8s silk necktie with star motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy, red and orange Herm\xc3\xa8s silk necktie with ornate motif."""
b'Herm\xc3\xa8s Tie',"b""Men's forest green Herm\xc3\xa8s silk cotton print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s silk cotton print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's light blue Herm\xc3\xa8s silk cotton print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's red Herm\xc3\xa8s mushroom print tie."""
b'Herm\xc3\xa8s Tie',"b""Men's Herm\xc3\xa8s silk tie with basket and berry motif."""
b'Herm\xc3\xa8s Tie',"b""Men's navy blue Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's fuchsia and light blue Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's burgundy and red Herm\xc3\xa8s silk printed tie."""
b'Herm\xc3\xa8s Tie',"b""Men's red and light blue Herm\xc3\xa8s silk printed tie."""
