b'GG pattern silk jacquard tie',"b'<ul> <li>blue and white</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern woven silk tie',"b'<ul> <li>grey and beige</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Tone-On-Tone Woven Silk Tie',"b'<ul> <li>navy and light blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'GG pattern woven silk tie',"b'<ul> <li>navy and light blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Tone-On-Tone Woven Silk Tie',"b'<ul> <li>bordeaux and red</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'"
b'Gucci Tie',"b""Men's grey Gucci silk polka dot embroidered skinny necktie."""
b'Gucci Tie',"b""Men's silver-tone and periwinkle Gucci silk necktie with stripes throughout."""
b'Gucci Tie',"b""Men's steel blue and navy Gucci silk necktie with stripes throughout."""
b'Gucci Tie',"b""Men's navy blue and yellow Gucci silk fan print necktie."""
b'Gucci Tie',"b""Men's navy, mustard and burgundy Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's charcoal and slate Gucci silk necktie with stripes and micro polka dots throughout."""
b'Gucci Floral Tie',"b""Men's red Gucci silk necktie with jacquard floral print throughout."""
b'Gucci Tie',"b""Men's blue and red Gucci neck tie with 'G' monogram throughout."""
b'Gucci Tie',"b""Men's navy blue, yellow, royal blue, and white Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's navy and silver-tone Gucci silk necktie with G print throughout."""
b'Gucci Tie',"b""Men's mauve and black Gucci silk necktie with geometric print throughout."""
b'Gucci Tie',"b""Men's brown, saffron and multicolor Gucci silk necktie with geometric horsebit print throughout."""
b'Gucci Tie',"b""Men's tan, saffron and grey Gucci silk necktie with oval print throughout and sparse subtle jacquard Gs throughout."""
b'Gucci Tie',"b""Men's black and grey Gucci silk graphic print tie."""
b'Gucci Tie',"b""Men's dark grey Gucci silk embroidered tie."""
b'Gucci Tie',"b""Men's yellow, blue and cream Gucci silk stripe print tie."""
b'Gucci Tie',"b""Men's blue and cream Gucci silk logo embroidered tie."""
b'Gucci Tie',"b""Men's silver, blue and charcoal Gucci silk strip print tie."""
b'Gucci Tie',"b""Men's lapis, blue and lavender Gucci silk striped tie."""
b'Gucci Tie',"b""Men's purple and black Gucci silk pin dot tie."""
b'Gucci Tie',"b""Men's blue Gucci silk diamond polka dot embroidered tie."""
b'Gucci Tie',"b""Men's grapefruit Gucci silk chain link embroidered tie."""
b'Gucci Tie',"b""Men's merlot and red Gucci silk GG embroidered tie."""
b'Gucci Tie',"b""Men's black and white Gucci silk embroidered tie."""
b'Gucci Tie',"b""Men's merlot Gucci silk striped and GG embroidered tie."""
b'Gucci Tie',"b""Men's dark brown and purple Gucci silk micro GG embroidered tie."""
b'Gucci Vintage printed tie',b'Brown silk tie from Gucci featuring a multicolour belt and bracelets print. Please note that vintage items are not new and therefore might have minor imperfections.'
b'Gucci checked tie',b'Blue and black silk tie from Gucci featuring a check pattern and a pointed tip.'
b'Gucci Vintage patterned tie',"b'Red silk patterned tie from Gucci Vintage featuring a pointed tip. The size is generous, pick a size down. Please note that vintage items are not new and therefore might have minor imperfections. From 1970.'"
b'Gucci geometric jacquard tie',b'Blue silk geometric jacquard tie from Gucci featuring a pointed tip.'
b'Gucci Vintage Paisley tie',"b'Chocolate brown silk vintage tie from Gucci Vintage featuring a paisley embossed print. Please note that vintage items are not new but are often between 1985 and the end of 90 \xcc\x81s, and therefore will always have minor imperfections, even when the items have been used and worn with love and care.'"
b'Gucci classic tie',b'Blue silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.'
"b""Gucci Vintage 'Middle Ages' printed tie""","b""Burgundy 'Middle Ages' silk tie from Gucci featuring a green and yellow floral print. Please note that vintage items are not new and therefore might have minor imperfections."""
b'Gucci printed tie',"b'Blue and burgundy silk printed tie from Gucci featuring branded rear patch, a printed logo to the rear and a polka dot pattern.'"
b'Gucci geometric print tie',b'Grey and red silk geometric print tie from Gucci featuring a pointed tip and a printed logo.'
b'Gucci Linen and Silk-Blend Tie',"b'Lift formal attire with this handsome sky-blue tie by Gucci. The luxurious combination of linen and silk creates a sleek and subtly nuanced texture that will add distinction to sharp tailoring. Shown here with a Charvet shirt . <ul> <li>Sky-blue linen and silk-blend tie</li> <li>55% linen, 45% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>'"
