,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'699',b'450710656',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/bf/fa/bffa7a708378639758952349add7c744_best.jpg',"b'<ul> <li>blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'704',b'450711374',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b7/59/b759ddc9f27ff063303a66736bc4fd62_best.jpg',"b'<ul> <li>black and dark brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'705',b'450711400',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/0e/ef/0eef4ce90828d5af109c075ab0f555a9_best.jpg',"b'<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'711',b'355490912',b'200.0',b'GG pattern silk jacquard tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/49/65/496519d68d57efc028d5a5926084c8cf_best.jpg',"b'<ul> <li>website exclusive</li> <li>pink and beige</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'889',b'461789824',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b5/c4/b5c497414802b98aa3fc0fb4936e12ae_best.jpg',"b""Men's crimson, navy and sky blue Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'899',b'462481911',b'75.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/78/7a/787a51c045736393716ff8a1afab8d55_best.jpg',"b""Men's grey and navy Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'905',b'461792980',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7e/d3/7ed3e5da320586c9f4e729858a30a87e_best.jpg',"b""Men's burgundy, red and orange Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'914',b'464975641',b'50.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c9/f7/c9f760ca7747c147693c2bbf972ee4f9_best.jpg',"b""Men's beige, green and brick Gucci silk printed tie.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'1091',b'450758048',b'145.85',b'Gucci dogtooth tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ab/d7/abd7b97abce0d538e4f7a6bd80aebd08_best.jpg',b'Black and white silk dogtooth tie from Gucci featuring a pointed tip.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'1092',b'457959024',b'151.26',b'Gucci classic tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/15/42/1542ec2d67e49c621980a5a0e7739f72_best.jpg',b'Grey silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.',b'farfetch.com',b'unknown',b'_silk',b'False'
